date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:12:10	44291/44291	---MCZ	200	added ('OK')	text/html	etag:W/%2263db9fc1-ad03%22	https://html.themexriver.com/Saasio/index-49.1.html	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/index-49.1.html	(from )
14:12:11	50/50	---MCZ	200	added ('OK')	text/plain	date:Fri,%2003%20Mar%202023%2019:12:11%20GMT	https://html.themexriver.com/robots.txt		(from )
14:12:11	1231/1231	---M--	200	added ('OK')	image/png	etag:%2263db9fbf-4cf%22	https://html.themexriver.com/Saasio/assets/img/fv.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/fv.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:11	140930/140930	---MCZ	200	added ('OK')	text/css	etag:W/%2263db9fc0-22682%22	https://html.themexriver.com/Saasio/assets/css/bootstrap.min.css	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/css/bootstrap.min.css	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:11	46063/46063	---MCZ	200	added ('OK')	text/css	etag:W/%2263db9fc0-b3ef%22	https://html.themexriver.com/Saasio/assets/css/fontawesome-all.css	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/css/fontawesome-all.css	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:11	1692/1692	---MCZ	200	added ('OK')	text/css	etag:W/%2263db9fc0-69c%22	https://html.themexriver.com/Saasio/assets/css/flaticon.css	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/css/flaticon.css	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:12	89270/89270	---MCZ	200	added ('OK')	text/css	etag:W/%2263db9fc0-15cb6%22	https://html.themexriver.com/Saasio/assets/css/animate.css	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/css/animate.css	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:12	1729/1729	---MCZ	200	added ('OK')	text/css	etag:W/%2263db9fc0-6c1%22	https://html.themexriver.com/Saasio/assets/css/slick.css	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/css/slick.css	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:12	3166/3166	---MCZ	200	added ('OK')	text/css	etag:W/%2263db9fc0-c5e%22	https://html.themexriver.com/Saasio/assets/css/slick-theme.css	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/css/slick-theme.css	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:12	60952/60952	---MCZ	200	added ('OK')	text/css	etag:W/%2263db9fc0-ee18%22	https://html.themexriver.com/Saasio/assets/css/it-solution-2.css	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/css/it-solution-2.css	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:13	4590/4590	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-11ee%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/logo/logo-1.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/logo/logo-1.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:13	75193/75193	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2003%20Mar%202023%2019:12:13%20GMT	https://html.themexriver.com/Saasio/!	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/!	(from https://html.themexriver.com/Saasio/index-49.1.html)
